DateTime,AddedIPs,RemovedIPs
1517509692,48,50
1517510693,48,28
1517511627,38,58
1517512582,24,97
1517513543,30,93
1517514506,50,71
1517515461,146,120
1517516419,17,33
1517517378,43,105
1517518354,58,75
1517519303,97,29
1517520259,29,166
1517521216,31,45
1517522201,1398,1598
1517523142,116,35
1517524101,35,74
1517525079,82,197
1517526042,58,10
1517526982,35,6
1517528184,58,109
1517529136,45,8
1517530103,63,135
1517531067,55,47
1517532013,26,2
1517533000,59,111
1517533950,65,54
1517534898,39,8
1517535861,37,75
1517536823,52,67
1517537798,31,88
1517538735,38,4
1517539711,53,133
1517540665,30,1
1517541616,39,40
1517542583,50,60
1517543547,47,98
1517544501,50,6
1517545724,78,82
1517546656,52,67
1517547624,57,45
1517548575,34,36
1517549564,48,43
1517550502,48,24
1517551464,46,68
1517552412,38,50
1517553397,27,42
1517554333,66,47
1517555299,36,42
1517556254,42,64
1517557217,46,50
1517558180,51,14
1517559163,42,67
1517560095,33,39
1517561061,46,25
1517562019,41,66
1517562982,33,28
1517563942,46,57
1517566013,106,99
1517567055,60,54
1517568053,38,38
1517568975,51,37
1517570200,50,53
1517571176,44,42
1517572099,40,49
1517573091,49,51
1517574033,50,19
1517574976,53,56
1517575942,47,53
1517576914,61,51
1517577857,55,53
1517578815,44,42
1517579775,47,41
1517580755,58,47
1517581693,74,35
1517582657,49,37
1517583626,38,45
1517584582,37,42
1517585542,28,9
1517586513,41,41
1517587470,71,45
1517588680,63,40
1517589639,49,112
1517590817,36,86
1517591790,64,60
1517592739,40,49
1517593702,54,47
1517594669,45,27
1517595632,63,72
1517596583,76,46
1517597545,54,52
1517598494,46,57
1517599489,79,53
1517600413,47,29
1517601374,58,65
1517602353,61,64
1517603298,45,44
1517604257,52,61
1517605246,52,52
1517606183,145,61
1517607153,550,71
1517608108,511,75
1517609068,166,1526
1517610016,48,68
1517610991,52,43
1517612466,80,91
1517613378,43,6
1517614918,57,94
1517616030,65,67
1517616987,52,61
1517617947,38,48
1517618896,75,80
1517619868,51,35
1517621071,66,62
1517622013,56,51
1517622986,50,58
1517623945,39,42
1517624896,58,61
1517625863,32,15
1517626842,48,55
1517628036,58,50
1517629005,35,57
1517629935,42,18
1517630894,50,53
1517631875,43,65
1517632813,51,38
1517633781,51,66
1517634748,30,54
1517635706,51,33
1517636655,44,97
1517637629,49,44
1517638580,54,94
1517639542,42,36
1517640495,63,51
1517641481,48,62
1517642418,48,65
1517643381,53,45
1517644342,33,42
1517645295,53,79
1517646276,34,20
1517647214,55,57
1517648175,61,53
1517649156,47,44
1517650092,34,45
1517651064,68,40
1517652028,38,27
1517652982,53,80
1517653953,40,48
1517654924,36,46
1517656104,45,41
1517657066,64,47
1517658018,42,54
1517658977,63,64
1517660124,67,59
1517661147,41,37
1517662100,56,63
1517663069,57,94
1517664017,46,8
1517664988,51,62
1517665938,58,64
1517666917,66,62
1517667856,39,26
1517668818,36,43
1517669793,42,12
1517670759,76,81
1517671941,55,57
1517672909,35,46
1517673869,68,66
1517674823,24,30
1517675796,60,49
1517676737,64,52
1517677702,61,52
1517678657,54,49
1517679617,43,39
1517680599,62,59
1517681538,40,44
1517682501,42,44
1517683460,33,46
1517684426,70,57
1517685386,52,42
1517686615,62,49
1517687778,49,37
1517688739,68,58
1517689718,47,56
1517690657,59,48
1517691622,34,34
1517692603,359,63
1517693547,683,51
1517694739,226,1159
1517695711,135,73
1517696667,59,44
1517697631,40,50
1517698828,55,51
1517699790,18,48
1517701049,51,59
1517702199,49,58
1517703136,30,60
1517704104,43,32
1517705059,38,56
1517706036,45,51
1517706983,35,50
1517707951,44,34
1517708908,32,70
1517710131,58,46
1517711059,31,39
1517712018,24,24
1517712992,32,65
1517713956,50,45
1517714894,22,49
1517715870,48,48
1517716822,37,54
1517717793,44,31
1517718737,50,104
1517719712,42,41
1517720659,26,51
1517721635,33,42
1517722579,34,36
1517723553,42,55
1517724505,33,41
1517725463,52,58
1517726661,62,65
1517727623,31,21
1517728584,54,72
1517729553,46,29
1517730496,28,52
1517731462,35,51
1517732415,40,44
1517733387,42,80
1517734345,34,32
1517735298,50,41
1517736257,44,35
1517737224,46,42
1517738173,23,1
1517739158,57,59
1517740096,52,39
1517741328,40,47
1517742262,52,54
1517743218,42,38
1517744172,36,47
1517745156,39,37
1517746093,49,32
1517747071,65,38
1517748011,54,53
1517748989,41,60
1517749936,35,24
1517750914,54,36
1517751861,40,62
1517752848,58,49
1517753785,37,42
1517754740,70,33
1517755694,50,107
1517756670,55,48
1517757618,56,31
1517758578,55,44
1517759541,54,67
1517760530,64,59
1517761458,57,28
1517762521,53,61
1517763634,74,49
1517764614,58,64
1517765534,42,49
1517766501,61,48
1517767466,63,48
1517768428,31,30
1517770618,115,116
1517771534,46,21
1517772507,41,63
1517773460,51,32
1517774433,40,62
1517775393,35,42
1517776347,40,81
1517777292,31,45
1517778291,41,57
1517779215,436,79
1517780192,600,95
1517781140,559,82
1517782104,142,1266
1517783052,68,67
1517784043,58,77
1517785000,33,44
1517785954,68,54
1517786895,35,55
1517788133,49,72
1517789311,43,53
1517790253,47,87
1517791243,47,116
1517792421,60,71
1517793382,57,56
1517794340,43,53
1517795558,56,63
1517796493,49,63
1517797454,49,61
1517798417,31,62
1517799374,24,72
1517800358,56,57
1517801292,44,35
1517802262,62,97
1517803222,32,10
1517804188,44,88
1517805140,34,56
1517806108,44,42
1517807065,75,57
1517808022,34,52
1517808995,43,68
1517809934,49,45
1517810903,40,39
1517811853,54,58
1517812814,48,47
1517813775,53,53
1517815010,49,38
1517815942,48,62
1517816894,55,66
1517818126,67,153
1517819050,55,12
1517820014,27,57
1517820994,32,98
1517821935,40,76
1517822893,49,56
1517823860,77,57
1517824823,42,38
1517825786,46,73
1517826989,53,21
1517828035,50,53
1517829156,62,92
1517830116,49,65
1517831059,49,10
1517832017,37,44
1517832996,68,80
1517833954,43,44
1517834898,32,3
1517835870,61,109
1517836813,33,6
1517837790,35,94
1517838732,44,9
1517839704,61,74
1517840654,46,11
1517841628,47,93
1517842582,51,8
1517843550,58,54
1517844495,40,41
1517845474,66,140
1517846420,54,6
1517847384,45,18
1517848341,55,94
1517849299,40,35
1517850266,42,81
1517851220,47,108
1517852939,60,65
1517853868,75,67
1517854822,47,44
1517855782,48,48
1517857006,58,39
1517857933,60,88
1517858899,36,53
1517859855,58,39
1517861096,66,65
1517862048,53,60
1517862978,52,38
1517863935,40,50
1517864928,42,45
1517865859,530,87
1517866817,653,93
1517867770,344,60
1517868761,203,1241
1517869694,36,61
1517870666,45,35
1517871630,49,60
1517872606,47,61
1517873540,40,72
1517874500,39,71
1517875465,39,58
1517876436,38,48
1517877375,40,53
1517878354,55,89
1517879296,40,51
1517880269,46,50
1517881218,36,49
1517882203,52,63
1517883137,45,58
1517884108,44,55
1517885060,67,87
1517886032,35,63
1517886980,83,81
1517887967,30,48
1517888905,51,84
1517889869,40,57
1517890815,31,33
1517891807,48,75
1517892739,46,79
1517893701,51,68
1517894658,55,54
1517895626,54,50
1517896571,39,41
1517897559,28,73
1517898528,40,51
1517899472,58,55
1517900422,45,43
1517901396,40,50
1517902338,57,76
1517903304,38,60
1517904264,40,34
1517905217,23,57
1517906199,42,50
1517907145,46,59
1517908094,39,41
1517909071,33,56
1517910012,45,86
1517910999,34,10
1517911937,43,67
1517912902,36,53
1517913878,65,55
1517914882,31,63
1517916777,66,110
1517917697,44,64
1517918685,58,64
1517919625,43,10
1517920591,34,101
1517921549,67,10
1517922538,48,105
1517923469,45,12
1517924421,41,44
1517925372,50,75
1517926369,24,97
1517927294,56,17
1517928260,77,143
1517929221,48,14
1517930202,43,91
1517931137,45,13
1517932125,97,131
1517933055,50,9
1517934071,64,86
1517934975,52,25
1517935960,67,53
1517936895,49,63
1517938386,93,90
1517939550,57,52
1517940494,35,16
1517941455,73,58
1517942431,28,51
1517943371,50,68
1517944350,80,61
1517945296,49,32
1517946264,71,88
1517947224,66,30
1517948184,65,50
1517949143,49,76
1517950109,62,60
1517951063,60,8
1517952019,130,104
1517952975,717,36
1517953944,766,1268
1517954905,118,37
1517955859,63,43
1517956817,20,36
1517957790,47,53
1517958747,33,27
1517959697,40,55
1517960663,30,45
1517961624,54,55
1517962590,38,35
1517963538,43,33
1517964495,35,39
1517965467,40,50
1517966431,32,50
1517967379,52,38
1517968334,57,46
1517969321,43,55
1517970254,43,46
1517971229,41,63
1517972171,50,50
1517973139,76,40
1517974091,51,50
1517975077,62,42
1517976022,29,40
1517976983,65,67
1517977936,69,46
1517978898,54,47
1517979867,46,72
1517980829,26,37
1517981788,63,27
1517982761,55,77
1517983706,59,48
1517984657,50,57
1517985619,44,31
1517986595,54,57
1517987540,71,46
1517988499,57,31
1517989483,53,50
1517990426,39,80
1517991388,59,61
1517992345,43,47
1517993298,39,40
1517994288,50,49
1517995213,47,48
1517996194,65,127
1517997138,52,41
1517998111,37,3
1517999057,59,100
1518000020,34,30
1518000971,50,7
1518001970,66,76
